Name,Type,S,G,S R,M S,H S,T S,G S,H L,T L,P,Diet
c3,Herbivore,Female,0.47,91.13,27.82,1.89,1.78,2,0.37,0.11,0.92,0.03
e1,Herbivore,Female,0.49,62.55,34.83,1.89,1.17,2,0.62,0.11,0.81,0.03
c1,Herbivore,Female,0.49,62.55,34.83,1.89,1.17,1.29,0.3,0.11,0.92,0.03
e6,Herbivore,Female,0.21,28.6,20.83,1.95,1.17,1.03,0.16,0.64,0.81,0.03
d6,Herbivore,Female,0.21,28.6,20.83,2.72,2.36,2,0.37,0.16,1.39,0.03
e2,Herbivore,Female,0.04,48.26,38.71,1.89,1.49,2,0.37,0.16,1.13,0.03
f3,Herbivore,Female,0.47,91.13,36.58,2.5,1.17,2.99,0.37,0.64,0.81,0.03
g3,Herbivore,Male,0.84,91.13,36.58,2.5,1.17,2.99,0.37,0.64,0.81,0.03
f2,Herbivore,Female,0.22,97.77,17.77,1.2,2.44,2,0.37,0.11,1.38,0.03
d4,Herbivore,Male,0.85,37.84,18.87,2.9,1.49,2,0.37,0.52,1.13,0.03
c3,Herbivore,Male,0.85,84.33,35.12,1.89,1.49,2,0.37,0.11,0.84,0.03
f1,Herbivore,Female,0.25,37.84,18.87,2.9,1.49,2,0.37,0.52,1.13,0.03
b2,Herbivore,Male,0.84,91.13,35.01,2.3,1.17,2.99,0.37,0.64,0.81,0.03
d2,Herbivore,Male,0.84,91.13,35.01,2.32,1.49,2,0.37,0.52,1.13,0.03
c4,Herbivore,Male,0.85,37.84,17.22,2.9,1.49,2,0.37,0.29,2,0.03
d2,Herbivore,Female,0.29,53.79,38.71,1.89,1.49,1.63,0.31,0.16,0.81,0.03
f3,Herbivore,Female,0.44,91.13,36.58,2.9,2.65,2,0.37,0.29,0.9,0.03
d1,Herbivore,Female,0.25,37.84,18.87,2.9,1.49,2,0.37,0.29,0.9,0.03
d6,Herbivore,Male,0.58,19.26,20.83,2.18,2.04,2.55,0.37,0.29,0.9,0.03
f2,Herbivore,Male,0.84,97.13,35.01,2.32,1.49,2,0.37,0.52,1.13,0.03
d1,Herbivore,Female,0.49,91.13,35.01,2.74,1.49,2,0.37,0.52,1.13,0.03
c2,Herbivore,Male,0.8,18.25,6.42,2.32,1.49,2,0.37,0.52,1.13,0.03
b2,Herbivore,Male,0.84,91.13,35.12,1.89,1.49,2,0.37,0.11,0.84,0.03
e3,Herbivore,Female,0.44,91.13,18.68,2.9,2.65,1.66,0.4,0.29,0.9,0.03
c6,Herbivore,Male,0.58,19.26,20.83,2.18,2.04,2.55,0.37,0.29,0.57,0.03
e3,Herbivore,Female,0.44,91.13,18.68,2.9,1.88,1.56,0.4,0.48,0.9,0.03
e2,Herbivore,Male,0.84,97.13,35.01,2.32,1.49,2,0.4,0.48,0.9,0.03
d2,Herbivore,Female,0.36,91.13,18.68,2.9,2.33,1.56,0.25,0.48,0.9,0.03
g3,Herbivore,Female,0.44,91.13,21.48,2.9,1.49,1.56,0.4,0.48,0.9,0.03
f2,Herbivore,Female,0.36,55.43,18.68,2.9,1.86,2,0.4,0.48,1.11,0.03
e6,Herbivore,Male,0.58,19.26,38.72,2.27,2.04,2.55,0.37,0.61,1.15,0.03
c2,Herbivore,Female,0.44,55.43,38.39,2.9,1.49,1.56,0.4,0.48,0.9,0.03
c2,Herbivore,Female,0.44,55.43,38.39,2.32,1.49,2.47,0.37,0.52,1.13,0.03
d1,Herbivore,Female,0.49,64.48,15.8,2.74,1.49,2,0.37,0.29,1.13,0.03
