Name,Type,S,G,S R,M S,H S,T S,G S,H L,T L,P,Diet
f2,Herbivore,Male,0.71,65.07,22.64,1.64,1.79,0.62,0.45,0.2,0.71,0.03
b7,Herbivore,Male,0.71,65.07,22.64,1.64,2.4,0.62,0.45,0.2,0.71,0.03
d1,Herbivore,Male,0.71,65.07,22.64,1.76,2.4,0.62,0.45,0.2,0.71,0.03
b4,Herbivore,Male,0.69,78.81,22.64,1.64,2.4,0.62,0.45,0.2,0.71,0.03
d7,Herbivore,Male,0.61,83.79,18.49,1.88,1.31,0.74,0.59,0.18,0.66,0.22
c1,Herbivore,Male,0.71,65.07,22.64,1.76,2.4,0.62,0.45,0.2,0.71,0.03
c2,Herbivore,Male,0.71,65.07,22.64,1.64,1.79,0.62,0.45,0.18,0.66,0.22
d4,Herbivore,Male,0.69,78.81,22.64,1.64,2.4,0.62,0.45,0.2,0.71,0.03
c2,Herbivore,Female,0.15,76.32,20.87,1.64,2.4,0.62,0.45,0.2,0.71,0.03
d2,Herbivore,Female,0.15,76.32,20.87,1.64,1.31,0.74,0.59,0.18,0.66,0.22
d2,Herbivore,Male,0.71,65.07,22.64,1.64,1.79,0.62,0.59,0.18,0.66,0.22
d4,Herbivore,Male,0.69,78.81,22.64,1.64,2.4,0.62,0.45,0.2,0.71,0.03
c2,Herbivore,Female,0.15,76.32,20.87,1.64,1.31,0.74,0.59,0.18,0.71,0.03
c1,Herbivore,Male,0.71,65.07,22.64,1.76,2.4,0.62,0.45,0.2,0.71,0.03
d3,Herbivore,Male,0.71,65.07,22.64,1.76,2.4,0.62,0.45,0.2,0.71,0.03
c8,Herbivore,Male,0.71,65.07,22.64,1.64,1.79,0.62,0.33,0.2,0.71,0.03
c7,Herbivore,Male,0.61,83.79,18.49,1.88,1.31,0.74,0.59,0.18,0.66,0.22
c7,Herbivore,Male,0.71,65.07,22.64,1.64,1.79,0.62,0.33,0.2,0.71,0.03
c2,Herbivore,Male,0.71,65.07,22.64,1.64,1.79,0.62,0.59,0.25,1.98,0.08
b4,Herbivore,Male,0.69,78.81,22.64,1.64,2.4,0.62,0.45,0.2,0.71,0.03
c3,Herbivore,Male,0.71,65.07,22.64,1.64,1.79,0.62,0.33,0.2,0.71,0.03
d7,Herbivore,Male,0.71,65.07,22.64,1.64,2.4,0.62,0.45,0.2,0.71,0.03
d1,Herbivore,Male,0.71,65.07,22.64,1.76,2.4,0.62,0.45,0.2,0.71,0.03
e4,Herbivore,Male,0.69,78.81,22.64,1.64,2.4,0.62,0.45,0.2,0.71,0.03
b1,Herbivore,Male,0.69,78.81,22.64,1.64,2.4,0.62,0.45,0.2,0.71,0.03
d7,Herbivore,Male,0.71,65.07,22.64,1.64,1.79,0.62,0.45,0.2,0.71,0.03
c4,Herbivore,Male,0.69,78.81,22.64,1.64,2.4,0.62,0.45,0.2,0.71,0.03
b7,Herbivore,Male,0.71,65.07,22.64,1.64,1.79,0.62,0.45,0.2,0.71,0.03
c4,Herbivore,Male,0.69,78.81,22.64,1.64,2.4,0.62,0.45,0.2,0.71,0.03
c2,Herbivore,Female,0.15,76.32,20.87,1.64,1.79,0.62,0.33,0.2,0.71,0.03
c2,Herbivore,Male,0.71,65.07,22.64,1.64,1.79,0.62,0.59,0.25,1.98,0.03
d4,Herbivore,Male,0.69,65.07,22.64,1.64,1.79,0.62,0.45,0.2,0.71,0.03
d3,Herbivore,Male,0.71,65.07,22.64,1.64,1.79,0.62,0.33,0.2,0.71,0.03
e2,Herbivore,Female,0.15,76.32,20.87,1.64,1.79,0.62,0.45,0.2,0.71,0.03
b2,Herbivore,Male,0.71,65.07,22.64,1.64,1.79,0.62,0.59,0.25,1.98,0.03
d7,Herbivore,Male,0.71,65.07,22.64,1.64,1.79,0.62,0.59,0.25,1.98,0.03
c2,Herbivore,Female,0.15,76.32,20.87,1.64,1.79,0.62,0.45,0.25,1.98,0.03
d4,Herbivore,Male,0.69,65.07,22.64,1.64,1.79,0.62,0.59,0.25,1.98,0.03
c7,Herbivore,Male,0.71,65.07,22.64,1.64,1.79,0.62,0.59,0.25,1.98,0.03
c1,Herbivore,Male,0.69,78.81,22.64,1.64,2.4,0.62,0.45,0.2,0.71,0.03
