Time,SumPopulation,HerbPopulation,CarnPopulation,OmniPopulation,FPS
354,53,53,0,0,57
355,52,52,0,0,25
356,52,52,0,0,69
357,51,51,0,0,59
358,51,51,0,0,68
359,50,50,0,0,53
360,52,52,0,0,61
361,52,52,0,0,63
362,54,54,0,0,56
363,54,54,0,0,67
364,54,54,0,0,54
365,54,54,0,0,61
366,56,56,0,0,53
367,56,56,0,0,51
368,56,56,0,0,58
369,55,55,0,0,62
370,55,55,0,0,59
371,55,55,0,0,66
372,55,55,0,0,65
373,56,56,0,0,64
374,56,56,0,0,46
375,57,57,0,0,65
376,56,56,0,0,64
377,56,56,0,0,59
378,56,56,0,0,59
379,56,56,0,0,63
380,56,56,0,0,60
381,55,55,0,0,61
382,56,56,0,0,59
383,56,56,0,0,58
384,55,55,0,0,60
385,55,55,0,0,62
386,56,56,0,0,61
387,57,57,0,0,60
388,58,58,0,0,56
389,58,58,0,0,61
390,57,57,0,0,56
391,57,57,0,0,66
392,57,57,0,0,55
393,56,56,0,0,60
394,55,55,0,0,57
395,54,54,0,0,67
396,53,53,0,0,55
397,55,55,0,0,63
398,56,56,0,0,56
399,56,56,0,0,60
400,55,55,0,0,53
401,55,55,0,0,58
402,56,56,0,0,54
403,55,55,0,0,58
404,55,55,0,0,59
405,54,54,0,0,68
406,54,54,0,0,67
407,54,54,0,0,57
408,52,52,0,0,57
409,51,51,0,0,66
410,51,51,0,0,56
411,51,51,0,0,47
412,52,52,0,0,56
413,53,53,0,0,58
414,53,53,0,0,55
415,53,53,0,0,61
416,54,54,0,0,67
417,54,54,0,0,60
418,56,56,0,0,64
419,56,56,0,0,60
420,55,55,0,0,58
421,55,55,0,0,58
422,53,53,0,0,61
423,51,51,0,0,67
424,51,51,0,0,68
425,50,50,0,0,64
426,50,50,0,0,67
427,50,50,0,0,60
428,50,50,0,0,61
429,50,50,0,0,57
430,50,50,0,0,64
431,50,50,0,0,52
432,52,52,0,0,59
433,51,51,0,0,65
434,51,51,0,0,55
435,51,51,0,0,61
436,51,51,0,0,64
437,52,52,0,0,57
438,53,53,0,0,59
439,52,52,0,0,60
440,53,53,0,0,57
441,53,53,0,0,59
442,53,53,0,0,66
443,53,53,0,0,67
444,53,53,0,0,60
445,53,53,0,0,64
446,52,52,0,0,59
447,51,51,0,0,64
448,51,51,0,0,58
449,51,51,0,0,49
450,52,52,0,0,67
451,52,52,0,0,60
452,49,49,0,0,55
453,48,48,0,0,60
454,47,47,0,0,67
455,47,47,0,0,66
456,48,48,0,0,62
457,48,48,0,0,64
458,48,48,0,0,60
459,49,49,0,0,69
460,49,49,0,0,64
461,48,48,0,0,60
462,49,49,0,0,58
463,49,49,0,0,63
464,49,49,0,0,63
465,49,49,0,0,69
466,49,49,0,0,62
467,49,49,0,0,62
468,50,50,0,0,65
469,49,49,0,0,64
470,49,49,0,0,53
471,49,49,0,0,65
472,49,49,0,0,60
473,49,49,0,0,67
474,49,49,0,0,68
475,50,50,0,0,69
476,51,51,0,0,61
477,51,51,0,0,55
478,51,51,0,0,60
479,51,51,0,0,70
480,51,51,0,0,60
481,52,52,0,0,64
482,52,52,0,0,59
483,54,54,0,0,48
484,55,55,0,0,32
485,56,56,0,0,66
486,56,56,0,0,62
487,57,57,0,0,64
488,59,59,0,0,65
489,60,60,0,0,57
490,60,60,0,0,52
491,61,61,0,0,58
492,61,61,0,0,51
493,61,61,0,0,58
494,60,60,0,0,63
495,59,59,0,0,61
496,59,59,0,0,58
497,59,59,0,0,51
498,58,58,0,0,55
499,58,58,0,0,55
500,58,58,0,0,57
501,56,56,0,0,65
502,56,56,0,0,66
503,55,55,0,0,61
504,55,55,0,0,64
505,55,55,0,0,61
506,54,54,0,0,63
507,54,54,0,0,58
508,54,54,0,0,45
509,53,53,0,0,62
510,54,54,0,0,59
511,56,56,0,0,60
512,55,55,0,0,53
513,53,53,0,0,60
514,52,52,0,0,59
515,52,52,0,0,65
516,52,52,0,0,64
517,53,53,0,0,60
518,53,53,0,0,62
519,52,52,0,0,53
520,54,54,0,0,58
521,53,53,0,0,46
522,53,53,0,0,57
523,53,53,0,0,14
524,52,52,0,0,63
525,53,53,0,0,61
526,53,53,0,0,63
527,54,54,0,0,39
528,54,54,0,0,40
529,54,54,0,0,59
530,54,54,0,0,52
531,55,55,0,0,58
532,55,55,0,0,66
533,55,55,0,0,58
534,55,55,0,0,55
535,55,55,0,0,55
536,53,53,0,0,56
537,53,53,0,0,56
538,53,53,0,0,60
539,53,53,0,0,60
540,53,53,0,0,62
541,53,53,0,0,66
542,53,53,0,0,66
543,55,55,0,0,51
544,54,54,0,0,58
545,55,55,0,0,57
546,55,55,0,0,52
547,55,55,0,0,65
548,55,55,0,0,67
549,57,57,0,0,56
550,57,57,0,0,57
551,59,59,0,0,57
552,59,59,0,0,56
553,61,61,0,0,55
554,61,61,0,0,56
555,62,62,0,0,59
556,63,63,0,0,61
557,63,63,0,0,51
558,66,66,0,0,51
559,66,66,0,0,54
560,66,66,0,0,53
561,64,64,0,0,54
562,63,63,0,0,53
563,63,63,0,0,43
564,61,61,0,0,57
565,61,61,0,0,51
566,60,60,0,0,62
567,60,60,0,0,57
568,59,59,0,0,54
569,59,59,0,0,53
570,59,59,0,0,59
571,57,57,0,0,60
572,57,57,0,0,55
573,57,57,0,0,53
574,56,56,0,0,56
575,57,57,0,0,53
576,56,56,0,0,59
577,56,56,0,0,59
578,56,56,0,0,59
579,56,56,0,0,50
580,56,56,0,0,60
581,56,56,0,0,57
582,57,57,0,0,56
583,56,56,0,0,51
584,56,56,0,0,58
585,57,57,0,0,53
586,58,58,0,0,59
587,58,58,0,0,52
588,57,57,0,0,59
589,56,56,0,0,55
590,55,55,0,0,61
591,55,55,0,0,58
592,55,55,0,0,56
593,54,54,0,0,56
594,54,54,0,0,61
595,55,55,0,0,65
596,55,55,0,0,62
597,55,55,0,0,54
598,55,55,0,0,61
599,54,54,0,0,62
600,54,54,0,0,58
601,54,54,0,0,54
602,53,53,0,0,59
603,54,54,0,0,63
604,53,53,0,0,68
605,54,54,0,0,60
606,54,54,0,0,57
607,54,54,0,0,57
608,54,54,0,0,56
609,55,55,0,0,14
610,54,54,0,0,63
611,54,54,0,0,58
612,54,54,0,0,56
613,53,53,0,0,59
614,54,54,0,0,60
615,56,56,0,0,58
616,56,56,0,0,58
617,56,56,0,0,58
618,56,56,0,0,57
619,56,56,0,0,53
620,56,56,0,0,58
621,55,55,0,0,60
622,55,55,0,0,51
623,55,55,0,0,56
624,55,55,0,0,59
625,54,54,0,0,50
626,54,54,0,0,59
627,53,53,0,0,57
628,54,54,0,0,58
629,54,54,0,0,56
630,54,54,0,0,55
631,54,54,0,0,66
632,54,54,0,0,59
633,53,53,0,0,66
634,54,54,0,0,27
635,54,54,0,0,57
636,54,54,0,0,60
637,55,55,0,0,56
638,56,56,0,0,60
639,56,56,0,0,56
640,57,57,0,0,63
641,59,59,0,0,49
642,60,60,0,0,53
643,60,60,0,0,60
644,60,60,0,0,52
645,60,60,0,0,55
646,62,62,0,0,9
647,62,62,0,0,47
648,63,63,0,0,43
649,63,63,0,0,50
650,64,64,0,0,33
651,64,64,0,0,47
652,63,63,0,0,12
653,62,62,0,0,38
654,63,63,0,0,43
655,62,62,0,0,48
656,60,60,0,0,50
657,60,60,0,0,55
658,59,59,0,0,55
659,59,59,0,0,55
660,59,59,0,0,54
661,59,59,0,0,57
662,59,59,0,0,57
663,60,60,0,0,54
664,60,60,0,0,53
665,61,61,0,0,39
666,59,59,0,0,51
667,59,59,0,0,55
668,59,59,0,0,54
669,59,59,0,0,58
670,60,60,0,0,56
671,59,59,0,0,49
672,60,60,0,0,52
673,60,60,0,0,56
674,61,61,0,0,49
675,61,61,0,0,53
676,61,61,0,0,52
677,61,61,0,0,52
678,62,62,0,0,51
679,62,62,0,0,51
680,63,63,0,0,48
681,62,62,0,0,54
682,62,62,0,0,52
683,62,62,0,0,55
684,60,60,0,0,57
685,59,59,0,0,56
686,58,58,0,0,51
687,60,60,0,0,51
688,61,61,0,0,49
689,59,59,0,0,52
690,58,58,0,0,51
691,58,58,0,0,55
692,59,59,0,0,54
693,61,61,0,0,54
694,60,60,0,0,53
695,61,61,0,0,51
696,61,61,0,0,52
697,61,61,0,0,56
698,61,61,0,0,52
699,61,61,0,0,52
700,61,61,0,0,52
701,61,61,0,0,55
702,61,61,0,0,54
703,60,60,0,0,61
704,60,60,0,0,54
705,60,60,0,0,59
706,61,61,0,0,55
707,60,60,0,0,53
708,61,61,0,0,52
709,61,61,0,0,53
710,60,60,0,0,43
711,60,60,0,0,56
712,60,60,0,0,54
713,59,59,0,0,54
714,59,59,0,0,55
715,59,59,0,0,57
716,59,59,0,0,55
717,59,59,0,0,56
718,59,59,0,0,55
719,60,60,0,0,52
720,61,61,0,0,53
721,59,59,0,0,53
722,58,58,0,0,52
723,58,58,0,0,56
724,57,57,0,0,54
725,57,57,0,0,60
726,57,57,0,0,53
727,56,56,0,0,56
728,54,54,0,0,53
729,55,55,0,0,64
730,53,53,0,0,51
731,52,52,0,0,57
732,52,52,0,0,55
733,52,52,0,0,58
734,55,55,0,0,55
735,56,56,0,0,54
736,55,55,0,0,53
737,55,55,0,0,58
738,54,54,0,0,57
739,54,54,0,0,22
740,53,53,0,0,61
741,52,52,0,0,59
742,51,51,0,0,61
743,50,50,0,0,62
744,50,50,0,0,18
745,52,52,0,0,66
746,53,53,0,0,58
747,53,53,0,0,62
748,53,53,0,0,53
749,52,52,0,0,57
750,52,52,0,0,61
751,52,52,0,0,58
752,53,53,0,0,58
753,53,53,0,0,52
754,53,53,0,0,57
755,52,52,0,0,61
756,53,53,0,0,56
757,54,54,0,0,60
758,55,55,0,0,61
759,55,55,0,0,59
760,55,55,0,0,56
761,55,55,0,0,57
762,54,54,0,0,57
763,53,53,0,0,57
764,52,52,0,0,58
765,52,52,0,0,60
766,53,53,0,0,56
767,53,53,0,0,58
768,53,53,0,0,60
769,54,54,0,0,58
770,53,53,0,0,52
771,53,53,0,0,60
772,52,52,0,0,57
773,52,52,0,0,56
774,53,53,0,0,55
775,53,53,0,0,61
776,53,53,0,0,56
777,54,54,0,0,58
778,53,53,0,0,60
779,53,53,0,0,52
780,53,53,0,0,57
781,54,54,0,0,66
782,54,54,0,0,53
783,54,54,0,0,53
784,50,50,0,0,59
785,49,49,0,0,59
786,49,49,0,0,50
787,50,50,0,0,59
788,50,50,0,0,59
789,50,50,0,0,59
790,50,50,0,0,61
791,51,51,0,0,60
792,50,50,0,0,61
793,50,50,0,0,61
794,49,49,0,0,60
795,50,50,0,0,58
796,49,49,0,0,61
797,49,49,0,0,65
798,50,50,0,0,59
799,51,51,0,0,59
800,52,52,0,0,59
801,52,52,0,0,59
802,52,52,0,0,61
803,52,52,0,0,65
804,52,52,0,0,61
805,53,53,0,0,55
806,54,54,0,0,52
807,54,54,0,0,57
808,54,54,0,0,53
809,54,54,0,0,53
810,54,54,0,0,57
811,55,55,0,0,52
812,54,54,0,0,65
813,54,54,0,0,53
814,56,56,0,0,52
